#    L    TT             EE             TE             PP             TP          
   233    0.55594E+04    0.13201E+01    0.36673E+02    0.23289E+07    0.18320E+04
   234    0.55500E+04    0.13681E+01    0.38356E+02    0.23183E+07    0.18167E+04
   235    0.55401E+04    0.14180E+01    0.40039E+02    0.23077E+07    0.18015E+04
   236    0.55296E+04    0.14699E+01    0.41723E+02    0.22972E+07    0.17864E+04
   237    0.55184E+04    0.15238E+01    0.43405E+02    0.22868E+07    0.17715E+04
   238    0.55067E+04    0.15799E+01    0.45086E+02    0.22764E+07    0.17566E+04
   239    0.54944E+04    0.16379E+01    0.46765E+02    0.22661E+07    0.17419E+04
   240    0.54813E+04    0.16980E+01    0.48439E+02    0.22559E+07    0.17273E+04
   241    0.54679E+04    0.17602E+01    0.50110E+02    0.22458E+07    0.17128E+04
   242    0.54538E+04    0.18245E+01    0.51777E+02    0.22357E+07    0.16984E+04
   243    0.54391E+04    0.18910E+01    0.53438E+02    0.22257E+07    0.16841E+04
   244    0.54238E+04    0.19597E+01    0.55094E+02    0.22158E+07    0.16699E+04
   245    0.54079E+04    0.20305E+01    0.56741E+02    0.22060E+07    0.16559E+04
   246    0.53915E+04    0.21035E+01    0.58382E+02    0.21962E+07    0.16419E+04
   247    0.53746E+04    0.21786E+01    0.60014E+02    0.21864E+07    0.16281E+04
   248    0.53570E+04    0.22562E+01    0.61637E+02    0.21768E+07    0.16144E+04
   249    0.53390E+04    0.23357E+01    0.63250E+02    0.21672E+07    0.16008E+04
   250    0.53205E+04    0.24177E+01    0.64852E+02    0.21577E+07    0.15873E+04
   251    0.53014E+04    0.25018E+01    0.66443E+02    0.21482E+07    0.15739E+04
   252    0.52817E+04    0.25882E+01    0.68023E+02    0.21388E+07    0.15606E+04
   253    0.52617E+04    0.26767E+01    0.69588E+02    0.21295E+07    0.15474E+04
   254    0.52411E+04    0.27676E+01    0.71141E+02    0.21202E+07    0.15343E+04
   255    0.52200E+04    0.28607E+01    0.72679E+02    0.21110E+07    0.15213E+04
   256    0.51985E+04    0.29562E+01    0.74205E+02    0.21018E+07    0.15085E+04
   257    0.51764E+04    0.30537E+01    0.75708E+02    0.20928E+07    0.14957E+04
   258    0.51539E+04    0.31536E+01    0.77203E+02    0.20837E+07    0.14830E+04
   259    0.51310E+04    0.32557E+01    0.78674E+02    0.20748E+07    0.14705E+04
   260    0.51076E+04    0.33600E+01    0.80135E+02    0.20658E+07    0.14580E+04
   261    0.50838E+04    0.34666E+01    0.81566E+02    0.20570E+07    0.14456E+04
   262    0.50594E+04    0.35754E+01    0.82987E+02    0.20482E+07    0.14333E+04
   263    0.50349E+04    0.36865E+01    0.84393E+02    0.20395E+07    0.14212E+04
   264    0.50098E+04    0.37997E+01    0.85774E+02    0.20308E+07    0.14091E+04
