#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  9117    0.26221E-02    0.72620E-04    0.32981E-12    0.72620E-04    0.69189E-05    0.37380E-15    0.32981E-12    0.37380E-15    0.39808E-18
  9118    0.26209E-02    0.72586E-04    0.32965E-12    0.72586E-04    0.69159E-05    0.37360E-15    0.32965E-12    0.37360E-15    0.39784E-18
  9119    0.26198E-02    0.72552E-04    0.32948E-12    0.72552E-04    0.69129E-05    0.37340E-15    0.32948E-12    0.37340E-15    0.39760E-18
  9120    0.26186E-02    0.72519E-04    0.32932E-12    0.72519E-04    0.69099E-05    0.37320E-15    0.32932E-12    0.37320E-15    0.39736E-18
  9121    0.26174E-02    0.72485E-04    0.32915E-12    0.72485E-04    0.69068E-05    0.37300E-15    0.32915E-12    0.37300E-15    0.39712E-18
  9122    0.26162E-02    0.72451E-04    0.32899E-12    0.72451E-04    0.69038E-05    0.37280E-15    0.32899E-12    0.37280E-15    0.39689E-18
  9123    0.26150E-02    0.72417E-04    0.32883E-12    0.72417E-04    0.69007E-05    0.37260E-15    0.32883E-12    0.37260E-15    0.39665E-18
  9124    0.26138E-02    0.72383E-04    0.32866E-12    0.72383E-04    0.68976E-05    0.37240E-15    0.32866E-12    0.37240E-15    0.39641E-18
  9125    0.26127E-02    0.72348E-04    0.32850E-12    0.72348E-04    0.68945E-05    0.37220E-15    0.32850E-12    0.37220E-15    0.39617E-18
  9126    0.26115E-02    0.72314E-04    0.32833E-12    0.72314E-04    0.68914E-05    0.37200E-15    0.32833E-12    0.37200E-15    0.39594E-18
  9127    0.26103E-02    0.72279E-04    0.32817E-12    0.72279E-04    0.68883E-05    0.37180E-15    0.32817E-12    0.37180E-15    0.39570E-18
  9128    0.26091E-02    0.72244E-04    0.32800E-12    0.72244E-04    0.68851E-05    0.37160E-15    0.32800E-12    0.37160E-15    0.39546E-18
  9129    0.26079E-02    0.72210E-04    0.32784E-12    0.72210E-04    0.68820E-05    0.37139E-15    0.32784E-12    0.37139E-15    0.39522E-18
  9130    0.26067E-02    0.72175E-04    0.32768E-12    0.72175E-04    0.68788E-05    0.37119E-15    0.32768E-12    0.37119E-15    0.39499E-18
  9131    0.26055E-02    0.72140E-04    0.32751E-12    0.72140E-04    0.68756E-05    0.37098E-15    0.32751E-12    0.37098E-15    0.39475E-18
  9132    0.26044E-02    0.72104E-04    0.32735E-12    0.72104E-04    0.68724E-05    0.37078E-15    0.32735E-12    0.37078E-15    0.39451E-18
  9133    0.26032E-02    0.72069E-04    0.32719E-12    0.72069E-04    0.68692E-05    0.37058E-15    0.32719E-12    0.37058E-15    0.39428E-18
  9134    0.26020E-02    0.72034E-04    0.32702E-12    0.72034E-04    0.68660E-05    0.37037E-15    0.32702E-12    0.37037E-15    0.39404E-18
  9135    0.26008E-02    0.71998E-04    0.32686E-12    0.71998E-04    0.68627E-05    0.37016E-15    0.32686E-12    0.37016E-15    0.39381E-18
  9136    0.25996E-02    0.71963E-04    0.32670E-12    0.71963E-04    0.68595E-05    0.36996E-15    0.32670E-12    0.36996E-15    0.39357E-18
  9137    0.25984E-02    0.71927E-04    0.32653E-12    0.71927E-04    0.68562E-05    0.36975E-15    0.32653E-12    0.36975E-15    0.39333E-18
  9138    0.25972E-02    0.71891E-04    0.32637E-12    0.71891E-04    0.68529E-05    0.36954E-15    0.32637E-12    0.36954E-15    0.39310E-18
  9139    0.25961E-02    0.71855E-04    0.32621E-12    0.71855E-04    0.68496E-05    0.36934E-15    0.32621E-12    0.36934E-15    0.39286E-18
  9140    0.25949E-02    0.71819E-04    0.32604E-12    0.71819E-04    0.68463E-05    0.36913E-15    0.32604E-12    0.36913E-15    0.39263E-18
  9141    0.25937E-02    0.71783E-04    0.32588E-12    0.71783E-04    0.68429E-05    0.36892E-15    0.32588E-12    0.36892E-15    0.39239E-18
  9142    0.25925E-02    0.71746E-04    0.32572E-12    0.71746E-04    0.68396E-05    0.36871E-15    0.32572E-12    0.36871E-15    0.39216E-18
  9143    0.25913E-02    0.71710E-04    0.32555E-12    0.71710E-04    0.68362E-05    0.36850E-15    0.32555E-12    0.36850E-15    0.39192E-18
  9144    0.25901E-02    0.71673E-04    0.32539E-12    0.71673E-04    0.68329E-05    0.36829E-15    0.32539E-12    0.36829E-15    0.39169E-18
  9145    0.25889E-02    0.71637E-04    0.32523E-12    0.71637E-04    0.68295E-05    0.36808E-15    0.32523E-12    0.36808E-15    0.39145E-18
  9146    0.25877E-02    0.71600E-04    0.32507E-12    0.71600E-04    0.68261E-05    0.36787E-15    0.32507E-12    0.36787E-15    0.39122E-18
  9147    0.25865E-02    0.71563E-04    0.32490E-12    0.71563E-04    0.68226E-05    0.36766E-15    0.32490E-12    0.36766E-15    0.39099E-18
  9148    0.25854E-02    0.71526E-04    0.32474E-12    0.71526E-04    0.68192E-05    0.36745E-15    0.32474E-12    0.36745E-15    0.39075E-18
  9149    0.25842E-02    0.71489E-04    0.32458E-12    0.71489E-04    0.68157E-05    0.36723E-15    0.32458E-12    0.36723E-15    0.39052E-18
  9150    0.25830E-02    0.71452E-04    0.32442E-12    0.71452E-04    0.68123E-05    0.36702E-15    0.32442E-12    0.36702E-15    0.39028E-18
  9151    0.25818E-02    0.71414E-04    0.32425E-12    0.71414E-04    0.68088E-05    0.36681E-15    0.32425E-12    0.36681E-15    0.39005E-18
  9152    0.25806E-02    0.71377E-04    0.32409E-12    0.71377E-04    0.68053E-05    0.36660E-15    0.32409E-12    0.36660E-15    0.38982E-18
  9153    0.25794E-02    0.71339E-04    0.32393E-12    0.71339E-04    0.68018E-05    0.36638E-15    0.32393E-12    0.36638E-15    0.38958E-18
  9154    0.25782E-02    0.71301E-04    0.32377E-12    0.71301E-04    0.67983E-05    0.36617E-15    0.32377E-12    0.36617E-15    0.38935E-18
  9155    0.25770E-02    0.71264E-04    0.32361E-12    0.71264E-04    0.67947E-05    0.36595E-15    0.32361E-12    0.36595E-15    0.38912E-18
  9156    0.25758E-02    0.71226E-04    0.32344E-12    0.71226E-04    0.67912E-05    0.36574E-15    0.32344E-12    0.36574E-15    0.38888E-18
  9157    0.25746E-02    0.71188E-04    0.32328E-12    0.71188E-04    0.67876E-05    0.36552E-15    0.32328E-12    0.36552E-15    0.38865E-18
  9158    0.25735E-02    0.71149E-04    0.32312E-12    0.71149E-04    0.67840E-05    0.36530E-15    0.32312E-12    0.36530E-15    0.38842E-18
  9159    0.25723E-02    0.71111E-04    0.32296E-12    0.71111E-04    0.67804E-05    0.36509E-15    0.32296E-12    0.36509E-15    0.38819E-18
  9160    0.25711E-02    0.71073E-04    0.32280E-12    0.71073E-04    0.67768E-05    0.36487E-15    0.32280E-12    0.36487E-15    0.38795E-18
  9161    0.25699E-02    0.71034E-04    0.32263E-12    0.71034E-04    0.67732E-05    0.36465E-15    0.32263E-12    0.36465E-15    0.38772E-18
  9162    0.25687E-02    0.70996E-04    0.32247E-12    0.70996E-04    0.67696E-05    0.36443E-15    0.32247E-12    0.36443E-15    0.38749E-18
  9163    0.25675E-02    0.70957E-04    0.32231E-12    0.70957E-04    0.67659E-05    0.36422E-15    0.32231E-12    0.36422E-15    0.38726E-18
  9164    0.25663E-02    0.70918E-04    0.32215E-12    0.70918E-04    0.67622E-05    0.36400E-15    0.32215E-12    0.36400E-15    0.38702E-18
  9165    0.25651E-02    0.70879E-04    0.32199E-12    0.70879E-04    0.67586E-05    0.36378E-15    0.32199E-12    0.36378E-15    0.38679E-18
  9166    0.25639E-02    0.70840E-04    0.32183E-12    0.70840E-04    0.67549E-05    0.36356E-15    0.32183E-12    0.36356E-15    0.38656E-18
  9167    0.25627E-02    0.70801E-04    0.32167E-12    0.70801E-04    0.67511E-05    0.36334E-15    0.32167E-12    0.36334E-15    0.38633E-18
  9168    0.25615E-02    0.70761E-04    0.32151E-12    0.70761E-04    0.67474E-05    0.36312E-15    0.32151E-12    0.36312E-15    0.38610E-18
  9169    0.25603E-02    0.70722E-04    0.32134E-12    0.70722E-04    0.67437E-05    0.36289E-15    0.32134E-12    0.36289E-15    0.38587E-18
  9170    0.25591E-02    0.70682E-04    0.32118E-12    0.70682E-04    0.67399E-05    0.36267E-15    0.32118E-12    0.36267E-15    0.38564E-18
  9171    0.25579E-02    0.70643E-04    0.32102E-12    0.70643E-04    0.67362E-05    0.36245E-15    0.32102E-12    0.36245E-15    0.38541E-18
  9172    0.25567E-02    0.70603E-04    0.32086E-12    0.70603E-04    0.67324E-05    0.36223E-15    0.32086E-12    0.36223E-15    0.38517E-18
  9173    0.25555E-02    0.70563E-04    0.32070E-12    0.70563E-04    0.67286E-05    0.36201E-15    0.32070E-12    0.36201E-15    0.38494E-18
  9174    0.25544E-02    0.70523E-04    0.32054E-12    0.70523E-04    0.67248E-05    0.36178E-15    0.32054E-12    0.36178E-15    0.38471E-18
  9175    0.25532E-02    0.70483E-04    0.32038E-12    0.70483E-04    0.67210E-05    0.36156E-15    0.32038E-12    0.36156E-15    0.38448E-18
  9176    0.25520E-02    0.70443E-04    0.32022E-12    0.70443E-04    0.67171E-05    0.36133E-15    0.32022E-12    0.36133E-15    0.38425E-18
  9177    0.25508E-02    0.70403E-04    0.32006E-12    0.70403E-04    0.67133E-05    0.36111E-15    0.32006E-12    0.36111E-15    0.38402E-18
  9178    0.25496E-02    0.70362E-04    0.31990E-12    0.70362E-04    0.67094E-05    0.36088E-15    0.31990E-12    0.36088E-15    0.38379E-18
  9179    0.25484E-02    0.70322E-04    0.31974E-12    0.70322E-04    0.67055E-05    0.36066E-15    0.31974E-12    0.36066E-15    0.38356E-18
  9180    0.25472E-02    0.70281E-04    0.31958E-12    0.70281E-04    0.67016E-05    0.36043E-15    0.31958E-12    0.36043E-15    0.38333E-18
  9181    0.25460E-02    0.70240E-04    0.31942E-12    0.70240E-04    0.66977E-05    0.36020E-15    0.31942E-12    0.36020E-15    0.38310E-18
  9182    0.25448E-02    0.70199E-04    0.31926E-12    0.70199E-04    0.66938E-05    0.35998E-15    0.31926E-12    0.35998E-15    0.38287E-18
  9183    0.25436E-02    0.70158E-04    0.31910E-12    0.70158E-04    0.66899E-05    0.35975E-15    0.31910E-12    0.35975E-15    0.38264E-18
  9184    0.25424E-02    0.70117E-04    0.31894E-12    0.70117E-04    0.66859E-05    0.35952E-15    0.31894E-12    0.35952E-15    0.38242E-18
  9185    0.25412E-02    0.70076E-04    0.31878E-12    0.70076E-04    0.66819E-05    0.35929E-15    0.31878E-12    0.35929E-15    0.38219E-18
  9186    0.25400E-02    0.70035E-04    0.31862E-12    0.70035E-04    0.66780E-05    0.35906E-15    0.31862E-12    0.35906E-15    0.38196E-18
  9187    0.25388E-02    0.69993E-04    0.31846E-12    0.69993E-04    0.66740E-05    0.35884E-15    0.31846E-12    0.35884E-15    0.38173E-18
  9188    0.25376E-02    0.69952E-04    0.31830E-12    0.69952E-04    0.66700E-05    0.35861E-15    0.31830E-12    0.35861E-15    0.38150E-18
  9189    0.25364E-02    0.69910E-04    0.31814E-12    0.69910E-04    0.66659E-05    0.35838E-15    0.31814E-12    0.35838E-15    0.38127E-18
  9190    0.25352E-02    0.69868E-04    0.31798E-12    0.69868E-04    0.66619E-05    0.35815E-15    0.31798E-12    0.35815E-15    0.38104E-18
  9191    0.25340E-02    0.69827E-04    0.31782E-12    0.69827E-04    0.66579E-05    0.35791E-15    0.31782E-12    0.35791E-15    0.38081E-18
  9192    0.25328E-02    0.69785E-04    0.31766E-12    0.69785E-04    0.66538E-05    0.35768E-15    0.31766E-12    0.35768E-15    0.38059E-18
  9193    0.25316E-02    0.69743E-04    0.31750E-12    0.69743E-04    0.66497E-05    0.35745E-15    0.31750E-12    0.35745E-15    0.38036E-18
  9194    0.25304E-02    0.69700E-04    0.31734E-12    0.69700E-04    0.66456E-05    0.35722E-15    0.31734E-12    0.35722E-15    0.38013E-18
  9195    0.25292E-02    0.69658E-04    0.31718E-12    0.69658E-04    0.66415E-05    0.35699E-15    0.31718E-12    0.35699E-15    0.37990E-18
  9196    0.25280E-02    0.69616E-04    0.31702E-12    0.69616E-04    0.66374E-05    0.35675E-15    0.31702E-12    0.35675E-15    0.37968E-18
  9197    0.25268E-02    0.69573E-04    0.31686E-12    0.69573E-04    0.66333E-05    0.35652E-15    0.31686E-12    0.35652E-15    0.37945E-18
  9198    0.25256E-02    0.69531E-04    0.31670E-12    0.69531E-04    0.66292E-05    0.35629E-15    0.31670E-12    0.35629E-15    0.37922E-18
  9199    0.25244E-02    0.69488E-04    0.31655E-12    0.69488E-04    0.66250E-05    0.35605E-15    0.31655E-12    0.35605E-15    0.37899E-18
  9200    0.25232E-02    0.69445E-04    0.31639E-12    0.69445E-04    0.66208E-05    0.35582E-15    0.31639E-12    0.35582E-15    0.37877E-18
  9201    0.25220E-02    0.69402E-04    0.31623E-12    0.69402E-04    0.66166E-05    0.35558E-15    0.31623E-12    0.35558E-15    0.37854E-18
  9202    0.25208E-02    0.69359E-04    0.31607E-12    0.69359E-04    0.66124E-05    0.35535E-15    0.31607E-12    0.35535E-15    0.37831E-18
  9203    0.25196E-02    0.69316E-04    0.31591E-12    0.69316E-04    0.66082E-05    0.35511E-15    0.31591E-12    0.35511E-15    0.37809E-18
  9204    0.25184E-02    0.69273E-04    0.31575E-12    0.69273E-04    0.66040E-05    0.35487E-15    0.31575E-12    0.35487E-15    0.37786E-18
  9205    0.25172E-02    0.69229E-04    0.31559E-12    0.69229E-04    0.65998E-05    0.35464E-15    0.31559E-12    0.35464E-15    0.37763E-18
  9206    0.25160E-02    0.69186E-04    0.31543E-12    0.69186E-04    0.65955E-05    0.35440E-15    0.31543E-12    0.35440E-15    0.37741E-18
  9207    0.25148E-02    0.69142E-04    0.31528E-12    0.69142E-04    0.65913E-05    0.35416E-15    0.31528E-12    0.35416E-15    0.37718E-18
  9208    0.25136E-02    0.69098E-04    0.31512E-12    0.69098E-04    0.65870E-05    0.35392E-15    0.31512E-12    0.35392E-15    0.37695E-18
  9209    0.25124E-02    0.69055E-04    0.31496E-12    0.69055E-04    0.65827E-05    0.35368E-15    0.31496E-12    0.35368E-15    0.37673E-18
  9210    0.25112E-02    0.69011E-04    0.31480E-12    0.69011E-04    0.65784E-05    0.35344E-15    0.31480E-12    0.35344E-15    0.37650E-18
  9211    0.25100E-02    0.68967E-04    0.31464E-12    0.68967E-04    0.65741E-05    0.35320E-15    0.31464E-12    0.35320E-15    0.37628E-18
  9212    0.25088E-02    0.68923E-04    0.31448E-12    0.68923E-04    0.65697E-05    0.35296E-15    0.31448E-12    0.35296E-15    0.37605E-18
  9213    0.25076E-02    0.68878E-04    0.31433E-12    0.68878E-04    0.65654E-05    0.35272E-15    0.31433E-12    0.35272E-15    0.37583E-18
  9214    0.25064E-02    0.68834E-04    0.31417E-12    0.68834E-04    0.65610E-05    0.35248E-15    0.31417E-12    0.35248E-15    0.37560E-18
  9215    0.25052E-02    0.68790E-04    0.31401E-12    0.68790E-04    0.65566E-05    0.35224E-15    0.31401E-12    0.35224E-15    0.37538E-18
  9216    0.25040E-02    0.68745E-04    0.31385E-12    0.68745E-04    0.65523E-05    0.35200E-15    0.31385E-12    0.35200E-15    0.37515E-18
  9217    0.25028E-02    0.68700E-04    0.31370E-12    0.68700E-04    0.65479E-05    0.35176E-15    0.31370E-12    0.35176E-15    0.37493E-18
  9218    0.25016E-02    0.68656E-04    0.31354E-12    0.68656E-04    0.65434E-05    0.35152E-15    0.31354E-12    0.35152E-15    0.37470E-18
  9219    0.25003E-02    0.68611E-04    0.31338E-12    0.68611E-04    0.65390E-05    0.35127E-15    0.31338E-12    0.35127E-15    0.37448E-18
  9220    0.24991E-02    0.68566E-04    0.31322E-12    0.68566E-04    0.65346E-05    0.35103E-15    0.31322E-12    0.35103E-15    0.37425E-18
  9221    0.24979E-02    0.68521E-04    0.31307E-12    0.68521E-04    0.65301E-05    0.35079E-15    0.31307E-12    0.35079E-15    0.37403E-18
  9222    0.24967E-02    0.68475E-04    0.31291E-12    0.68475E-04    0.65257E-05    0.35054E-15    0.31291E-12    0.35054E-15    0.37380E-18
  9223    0.24955E-02    0.68430E-04    0.31275E-12    0.68430E-04    0.65212E-05    0.35030E-15    0.31275E-12    0.35030E-15    0.37358E-18
  9224    0.24943E-02    0.68385E-04    0.31259E-12    0.68385E-04    0.65167E-05    0.35005E-15    0.31259E-12    0.35005E-15    0.37336E-18
  9225    0.24931E-02    0.68339E-04    0.31244E-12    0.68339E-04    0.65122E-05    0.34981E-15    0.31244E-12    0.34981E-15    0.37313E-18
  9226    0.24919E-02    0.68294E-04    0.31228E-12    0.68294E-04    0.65077E-05    0.34956E-15    0.31228E-12    0.34956E-15    0.37291E-18
  9227    0.24907E-02    0.68248E-04    0.31212E-12    0.68248E-04    0.65031E-05    0.34931E-15    0.31212E-12    0.34931E-15    0.37269E-18
  9228    0.24895E-02    0.68202E-04    0.31196E-12    0.68202E-04    0.64986E-05    0.34907E-15    0.31196E-12    0.34907E-15    0.37246E-18
  9229    0.24883E-02    0.68156E-04    0.31181E-12    0.68156E-04    0.64940E-05    0.34882E-15    0.31181E-12    0.34882E-15    0.37224E-18
  9230    0.24871E-02    0.68110E-04    0.31165E-12    0.68110E-04    0.64894E-05    0.34857E-15    0.31165E-12    0.34857E-15    0.37202E-18
  9231    0.24859E-02    0.68064E-04    0.31149E-12    0.68064E-04    0.64849E-05    0.34832E-15    0.31149E-12    0.34832E-15    0.37179E-18
  9232    0.24847E-02    0.68018E-04    0.31134E-12    0.68018E-04    0.64803E-05    0.34808E-15    0.31134E-12    0.34808E-15    0.37157E-18
  9233    0.24835E-02    0.67972E-04    0.31118E-12    0.67972E-04    0.64756E-05    0.34783E-15    0.31118E-12    0.34783E-15    0.37135E-18
  9234    0.24823E-02    0.67925E-04    0.31102E-12    0.67925E-04    0.64710E-05    0.34758E-15    0.31102E-12    0.34758E-15    0.37112E-18
  9235    0.24810E-02    0.67879E-04    0.31087E-12    0.67879E-04    0.64664E-05    0.34733E-15    0.31087E-12    0.34733E-15    0.37090E-18
  9236    0.24798E-02    0.67832E-04    0.31071E-12    0.67832E-04    0.64617E-05    0.34708E-15    0.31071E-12    0.34708E-15    0.37068E-18
  9237    0.24786E-02    0.67785E-04    0.31055E-12    0.67785E-04    0.64571E-05    0.34683E-15    0.31055E-12    0.34683E-15    0.37046E-18
  9238    0.24774E-02    0.67738E-04    0.31040E-12    0.67738E-04    0.64524E-05    0.34658E-15    0.31040E-12    0.34658E-15    0.37023E-18
  9239    0.24762E-02    0.67691E-04    0.31024E-12    0.67691E-04    0.64477E-05    0.34633E-15    0.31024E-12    0.34633E-15    0.37001E-18
  9240    0.24750E-02    0.67644E-04    0.31008E-12    0.67644E-04    0.64430E-05    0.34607E-15    0.31008E-12    0.34607E-15    0.36979E-18
  9241    0.24738E-02    0.67597E-04    0.30993E-12    0.67597E-04    0.64383E-05    0.34582E-15    0.30993E-12    0.34582E-15    0.36957E-18
  9242    0.24726E-02    0.67550E-04    0.30977E-12    0.67550E-04    0.64336E-05    0.34557E-15    0.30977E-12    0.34557E-15    0.36935E-18
  9243    0.24714E-02    0.67503E-04    0.30962E-12    0.67503E-04    0.64288E-05    0.34532E-15    0.30962E-12    0.34532E-15    0.36913E-18
  9244    0.24702E-02    0.67455E-04    0.30946E-12    0.67455E-04    0.64241E-05    0.34506E-15    0.30946E-12    0.34506E-15    0.36890E-18
  9245    0.24690E-02    0.67408E-04    0.30930E-12    0.67408E-04    0.64193E-05    0.34481E-15    0.30930E-12    0.34481E-15    0.36868E-18
  9246    0.24677E-02    0.67360E-04    0.30915E-12    0.67360E-04    0.64145E-05    0.34456E-15    0.30915E-12    0.34456E-15    0.36846E-18
  9247    0.24665E-02    0.67312E-04    0.30899E-12    0.67312E-04    0.64097E-05    0.34430E-15    0.30899E-12    0.34430E-15    0.36824E-18
  9248    0.24653E-02    0.67264E-04    0.30884E-12    0.67264E-04    0.64049E-05    0.34405E-15    0.30884E-12    0.34405E-15    0.36802E-18
  9249    0.24641E-02    0.67216E-04    0.30868E-12    0.67216E-04    0.64001E-05    0.34379E-15    0.30868E-12    0.34379E-15    0.36780E-18
  9250    0.24629E-02    0.67168E-04    0.30853E-12    0.67168E-04    0.63953E-05    0.34354E-15    0.30853E-12    0.34354E-15    0.36758E-18
  9251    0.24617E-02    0.67120E-04    0.30837E-12    0.67120E-04    0.63904E-05    0.34328E-15    0.30837E-12    0.34328E-15    0.36736E-18
  9252    0.24605E-02    0.67072E-04    0.30821E-12    0.67072E-04    0.63856E-05    0.34302E-15    0.30821E-12    0.34302E-15    0.36714E-18
  9253    0.24593E-02    0.67023E-04    0.30806E-12    0.67023E-04    0.63807E-05    0.34277E-15    0.30806E-12    0.34277E-15    0.36692E-18
  9254    0.24581E-02    0.66975E-04    0.30790E-12    0.66975E-04    0.63758E-05    0.34251E-15    0.30790E-12    0.34251E-15    0.36670E-18
  9255    0.24568E-02    0.66926E-04    0.30775E-12    0.66926E-04    0.63709E-05    0.34225E-15    0.30775E-12    0.34225E-15    0.36648E-18
  9256    0.24556E-02    0.66878E-04    0.30759E-12    0.66878E-04    0.63660E-05    0.34199E-15    0.30759E-12    0.34199E-15    0.36626E-18
  9257    0.24544E-02    0.66829E-04    0.30744E-12    0.66829E-04    0.63611E-05    0.34173E-15    0.30744E-12    0.34173E-15    0.36604E-18
  9258    0.24532E-02    0.66780E-04    0.30728E-12    0.66780E-04    0.63561E-05    0.34148E-15    0.30728E-12    0.34148E-15    0.36582E-18
  9259    0.24520E-02    0.66731E-04    0.30713E-12    0.66731E-04    0.63512E-05    0.34122E-15    0.30713E-12    0.34122E-15    0.36560E-18
  9260    0.24508E-02    0.66682E-04    0.30697E-12    0.66682E-04    0.63462E-05    0.34096E-15    0.30697E-12    0.34096E-15    0.36538E-18
  9261    0.24496E-02    0.66633E-04    0.30682E-12    0.66633E-04    0.63413E-05    0.34070E-15    0.30682E-12    0.34070E-15    0.36516E-18
  9262    0.24484E-02    0.66583E-04    0.30666E-12    0.66583E-04    0.63363E-05    0.34044E-15    0.30666E-12    0.34044E-15    0.36494E-18
  9263    0.24471E-02    0.66534E-04    0.30651E-12    0.66534E-04    0.63313E-05    0.34018E-15    0.30651E-12    0.34018E-15    0.36472E-18
  9264    0.24459E-02    0.66485E-04    0.30635E-12    0.66485E-04    0.63263E-05    0.33991E-15    0.30635E-12    0.33991E-15    0.36450E-18
  9265    0.24447E-02    0.66435E-04    0.30620E-12    0.66435E-04    0.63212E-05    0.33965E-15    0.30620E-12    0.33965E-15    0.36428E-18
  9266    0.24435E-02    0.66385E-04    0.30604E-12    0.66385E-04    0.63162E-05    0.33939E-15    0.30604E-12    0.33939E-15    0.36406E-18
  9267    0.24423E-02    0.66336E-04    0.30589E-12    0.66336E-04    0.63112E-05    0.33913E-15    0.30589E-12    0.33913E-15    0.36385E-18
  9268    0.24411E-02    0.66286E-04    0.30573E-12    0.66286E-04    0.63061E-05    0.33887E-15    0.30573E-12    0.33887E-15    0.36363E-18
  9269    0.24399E-02    0.66236E-04    0.30558E-12    0.66236E-04    0.63010E-05    0.33860E-15    0.30558E-12    0.33860E-15    0.36341E-18
  9270    0.24386E-02    0.66186E-04    0.30543E-12    0.66186E-04    0.62959E-05    0.33834E-15    0.30543E-12    0.33834E-15    0.36319E-18
  9271    0.24374E-02    0.66135E-04    0.30527E-12    0.66135E-04    0.62909E-05    0.33807E-15    0.30527E-12    0.33807E-15    0.36297E-18
  9272    0.24362E-02    0.66085E-04    0.30512E-12    0.66085E-04    0.62857E-05    0.33781E-15    0.30512E-12    0.33781E-15    0.36276E-18
  9273    0.24350E-02    0.66035E-04    0.30496E-12    0.66035E-04    0.62806E-05    0.33754E-15    0.30496E-12    0.33754E-15    0.36254E-18
  9274    0.24338E-02    0.65984E-04    0.30481E-12    0.65984E-04    0.62755E-05    0.33728E-15    0.30481E-12    0.33728E-15    0.36232E-18
  9275    0.24326E-02    0.65934E-04    0.30465E-12    0.65934E-04    0.62703E-05    0.33701E-15    0.30465E-12    0.33701E-15    0.36210E-18
  9276    0.24314E-02    0.65883E-04    0.30450E-12    0.65883E-04    0.62652E-05    0.33675E-15    0.30450E-12    0.33675E-15    0.36188E-18
  9277    0.24301E-02    0.65832E-04    0.30435E-12    0.65832E-04    0.62600E-05    0.33648E-15    0.30435E-12    0.33648E-15    0.36167E-18
  9278    0.24289E-02    0.65781E-04    0.30419E-12    0.65781E-04    0.62548E-05    0.33621E-15    0.30419E-12    0.33621E-15    0.36145E-18
  9279    0.24277E-02    0.65731E-04    0.30404E-12    0.65731E-04    0.62496E-05    0.33595E-15    0.30404E-12    0.33595E-15    0.36123E-18
  9280    0.24265E-02    0.65679E-04    0.30389E-12    0.65679E-04    0.62444E-05    0.33568E-15    0.30389E-12    0.33568E-15    0.36102E-18
  9281    0.24253E-02    0.65628E-04    0.30373E-12    0.65628E-04    0.62392E-05    0.33541E-15    0.30373E-12    0.33541E-15    0.36080E-18
  9282    0.24241E-02    0.65577E-04    0.30358E-12    0.65577E-04    0.62340E-05    0.33514E-15    0.30358E-12    0.33514E-15    0.36058E-18
  9283    0.24228E-02    0.65526E-04    0.30342E-12    0.65526E-04    0.62287E-05    0.33488E-15    0.30342E-12    0.33488E-15    0.36037E-18
  9284    0.24216E-02    0.65474E-04    0.30327E-12    0.65474E-04    0.62235E-05    0.33461E-15    0.30327E-12    0.33461E-15    0.36015E-18
  9285    0.24204E-02    0.65423E-04    0.30312E-12    0.65423E-04    0.62182E-05    0.33434E-15    0.30312E-12    0.33434E-15    0.35993E-18
  9286    0.24192E-02    0.65371E-04    0.30296E-12    0.65371E-04    0.62129E-05    0.33407E-15    0.30296E-12    0.33407E-15    0.35972E-18
  9287    0.24180E-02    0.65319E-04    0.30281E-12    0.65319E-04    0.62076E-05    0.33380E-15    0.30281E-12    0.33380E-15    0.35950E-18
  9288    0.24167E-02    0.65268E-04    0.30266E-12    0.65268E-04    0.62023E-05    0.33353E-15    0.30266E-12    0.33353E-15    0.35928E-18
  9289    0.24155E-02    0.65216E-04    0.30250E-12    0.65216E-04    0.61970E-05    0.33325E-15    0.30250E-12    0.33325E-15    0.35907E-18
  9290    0.24143E-02    0.65164E-04    0.30235E-12    0.65164E-04    0.61917E-05    0.33298E-15    0.30235E-12    0.33298E-15    0.35885E-18
  9291    0.24131E-02    0.65111E-04    0.30220E-12    0.65111E-04    0.61863E-05    0.33271E-15    0.30220E-12    0.33271E-15    0.35864E-18
  9292    0.24119E-02    0.65059E-04    0.30204E-12    0.65059E-04    0.61810E-05    0.33244E-15    0.30204E-12    0.33244E-15    0.35842E-18
  9293    0.24107E-02    0.65007E-04    0.30189E-12    0.65007E-04    0.61756E-05    0.33217E-15    0.30189E-12    0.33217E-15    0.35821E-18
  9294    0.24094E-02    0.64955E-04    0.30174E-12    0.64955E-04    0.61702E-05    0.33189E-15    0.30174E-12    0.33189E-15    0.35799E-18
  9295    0.24082E-02    0.64902E-04    0.30159E-12    0.64902E-04    0.61648E-05    0.33162E-15    0.30159E-12    0.33162E-15    0.35777E-18
  9296    0.24070E-02    0.64849E-04    0.30143E-12    0.64849E-04    0.61594E-05    0.33135E-15    0.30143E-12    0.33135E-15    0.35756E-18
  9297    0.24058E-02    0.64797E-04    0.30128E-12    0.64797E-04    0.61540E-05    0.33107E-15    0.30128E-12    0.33107E-15    0.35734E-18
  9298    0.24046E-02    0.64744E-04    0.30113E-12    0.64744E-04    0.61486E-05    0.33080E-15    0.30113E-12    0.33080E-15    0.35713E-18
  9299    0.24033E-02    0.64691E-04    0.30098E-12    0.64691E-04    0.61431E-05    0.33052E-15    0.30098E-12    0.33052E-15    0.35691E-18
