#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   163    0.47379E+04   -0.44064E+02    0.11791E-05   -0.44064E+02    0.98306E+00   -0.58206E-08    0.11791E-05   -0.58206E-08    0.26915E-11
   164    0.47664E+04   -0.43737E+02    0.11616E-05   -0.43737E+02    0.97297E+00   -0.57017E-08    0.11616E-05   -0.57017E-08    0.26439E-11
   165    0.47948E+04   -0.43382E+02    0.11443E-05   -0.43382E+02    0.96258E+00   -0.55822E-08    0.11443E-05   -0.55822E-08    0.25975E-11
   166    0.48229E+04   -0.43000E+02    0.11274E-05   -0.43000E+02    0.95206E+00   -0.54620E-08    0.11274E-05   -0.54620E-08    0.25521E-11
   167    0.48507E+04   -0.42593E+02    0.11109E-05   -0.42593E+02    0.94117E+00   -0.53415E-08    0.11109E-05   -0.53415E-08    0.25078E-11
   168    0.48781E+04   -0.42157E+02    0.10946E-05   -0.42157E+02    0.93029E+00   -0.52208E-08    0.10946E-05   -0.52208E-08    0.24644E-11
   169    0.49051E+04   -0.41693E+02    0.10787E-05   -0.41693E+02    0.91913E+00   -0.51000E-08    0.10787E-05   -0.51000E-08    0.24221E-11
   170    0.49318E+04   -0.41203E+02    0.10631E-05   -0.41203E+02    0.90790E+00   -0.49793E-08    0.10631E-05   -0.49793E-08    0.23807E-11
   171    0.49581E+04   -0.40683E+02    0.10478E-05   -0.40683E+02    0.89662E+00   -0.48589E-08    0.10478E-05   -0.48589E-08    0.23402E-11
   172    0.49839E+04   -0.40136E+02    0.10327E-05   -0.40136E+02    0.88520E+00   -0.47391E-08    0.10327E-05   -0.47391E-08    0.23006E-11
   173    0.50093E+04   -0.39562E+02    0.10180E-05   -0.39562E+02    0.87364E+00   -0.46199E-08    0.10180E-05   -0.46199E-08    0.22618E-11
   174    0.50343E+04   -0.38960E+02    0.10035E-05   -0.38960E+02    0.86225E+00   -0.45015E-08    0.10035E-05   -0.45015E-08    0.22239E-11
   175    0.50590E+04   -0.38330E+02    0.98934E-06   -0.38330E+02    0.85073E+00   -0.43842E-08    0.98934E-06   -0.43842E-08    0.21868E-11
   176    0.50831E+04   -0.37672E+02    0.97540E-06   -0.37672E+02    0.83931E+00   -0.42680E-08    0.97540E-06   -0.42680E-08    0.21504E-11
